Index,1,2,3,4,5,6,7,8,9,
Image,,,,,,,,,,
Name,"PP 11 splines","PP 33 splines","SB rec dev","AM rec dev","BF rec dev","WF rec dev","AH rec dev","SBAH seas","SBAH seas projection",
June,0.9712235,1.560435,0.9110361,0.8355224,0.63463,1.288117,0.4104879,3.958851,1,
July,0.9719399,1.560435,0.9110361,0.8355224,0.63463,1.288117,0.4104879,4.682942,1,
August,0.9727012,1.560435,0.9110361,0.8355224,0.63463,1.288117,0.4104879,4.99499,1,
September,0.9735051,1.560435,0.9110361,0.8355224,0.63463,1.288117,0.4104879,4.818595,1,
October,0.9743493,1.560435,0.9110361,0.8355224,0.63463,1.288117,0.4104879,4.196944,1,
November,0.9752313,1.560435,0.9110361,0.8355224,0.63463,1.288117,0.4104879,3.28224,1,
December,0.976149,0.6553597,0.9110361,0.8355224,0.63463,1.288117,0.4104879,2.298434,1,
2007,0.9770998,0.6553597,1.3406,1.336101,0.9002661,0.7620019,1.425741,1.181405,1,
February,0.9780815,0.6553597,1.3406,1.336101,0.9002661,0.7620019,1.425741,1.00501,1,
March,0.9790916,0.6553597,1.3406,1.336101,0.9002661,0.7620019,1.425741,1.317058,1,
April,0.980128,0.6553597,1.3406,1.336101,0.9002661,0.7620019,1.425741,2.041149,1,
May,0.9811879,0.6553597,1.3406,1.336101,0.9002661,0.7620019,1.425741,3,1,
June,0.9822685,0.6553597,1.3406,1.336101,0.9002661,0.7620019,1.425741,3.958851,1,
July,0.9833664,0.6553597,1.3406,1.336101,0.9002661,0.7620019,1.425741,4.682942,1,
August,0.9844787,0.6553597,1.3406,1.336101,0.9002661,0.7620019,1.425741,4.99499,1,
September,0.985602,0.6553597,1.3406,1.336101,0.9002661,0.7620019,1.425741,4.818595,1,
October,0.9867333,0.6553597,1.3406,1.336101,0.9002661,0.7620019,1.425741,4.196944,1,
November,0.9878693,0.6553597,1.3406,1.336101,0.9002661,0.7620019,1.425741,3.28224,1,
December,0.9890068,0.9233885,1.3406,1.336101,0.9002661,0.7620019,1.425741,2.298434,1,
