EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"4/18/2024 4:36:15 PM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,(none)
StartYear,0


MSY run,MSY
Assessment,full_compensation
Fleet,F.menhaden

,"striped bass 0","striped bass 2-5","striped bass 6+","menhaden 0","menhaden 1","menhaden 2","menhaden 3","menhaden 4","menhaden 5","menhaden 6+","spiny dogfish","bluefish juv","bluefish adult","weakfish juv","weakfish adult","Atlantic herring 0-1","Atlantic herring 2+",anchovies,benthos,zooplankton,phytoplankton,Detritus
FmsyFound,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0

F,"striped bass 0","striped bass 2-5","striped bass 6+","menhaden 0","menhaden 1","menhaden 2","menhaden 3","menhaden 4","menhaden 5","menhaden 6+","spiny dogfish","bluefish juv","bluefish adult","weakfish juv","weakfish adult","Atlantic herring 0-1","Atlantic herring 2+",anchovies,benthos,zooplankton,phytoplankton,Detritus
0.7714281,0.02029442,0.05297678,0.06747468,0.2861402,0.9587898,0.7624228,0.326448,0.1144276,0.04188835,0.02979715,0.2929545,0.001632821,0.1081546,0.0006858641,0.007254157,0.01462794,0.259124,0.1178275,14.5251,13.57342,8.594042,12.97054
0.7857139,0.02019991,0.05288355,0.06716318,0.286045,0.9583206,0.7611342,0.3253572,0.1138692,0.04161298,0.02960102,0.2930951,0.001633953,0.108221,0.000686789,0.007261367,0.01466422,0.2598326,0.1179539,14.52499,13.57368,8.594011,12.9705
0.7999996,0.02010615,0.0527909,0.06685412,0.285942,0.9578353,0.7598374,0.3242648,0.113311,0.04133792,0.02940494,0.2932354,0.001635074,0.1082865,0.0006877087,0.00726852,0.01470045,0.2605404,0.1180795,14.52487,13.57395,8.593979,12.97047
0.8142853,0.02001307,0.05269884,0.06654748,0.2858317,0.9573346,0.7585326,0.3231708,0.1127532,0.04106317,0.02920894,0.2933756,0.001636186,0.1083512,0.0006886234,0.007275614,0.01473663,0.2612476,0.1182044,14.52475,13.57422,8.593946,12.97043
0.8285711,0.01992073,0.05260734,0.06624337,0.2857135,0.9568176,0.7572196,0.3220754,0.1121955,0.04078874,0.029013,0.2935158,0.001637287,0.108415,0.0006895328,0.007282651,0.01477278,0.2619541,0.1183284,14.52463,13.5745,8.59391,12.97039
0.8428568,0.01982913,0.05251648,0.06594164,0.2855879,0.9562851,0.7558987,0.3209784,0.1116381,0.04051467,0.02881717,0.293656,0.00163838,0.1084782,0.0006904371,0.007289632,0.0148089,0.2626603,0.1184518,14.52451,13.57479,8.593875,12.97035
0.8571426,0.01973822,0.05242615,0.06564239,0.2854545,0.9557365,0.7545692,0.3198799,0.1110811,0.04024091,0.02862141,0.2937961,0.00163946,0.1085404,0.0006913355,0.007296546,0.01484498,0.2633657,0.1185742,14.52439,13.57509,8.593839,12.97031
0.8714283,0.019648,0.0523364,0.0653454,0.2853137,0.9551725,0.7532323,0.3187799,0.1105243,0.03996752,0.02842579,0.2939361,0.001640532,0.1086018,0.0006922292,0.007303407,0.01488103,0.2640707,0.1186959,14.52426,13.57539,8.593801,12.97027
0.8857141,0.01955849,0.05224725,0.06505091,0.2851648,0.9545919,0.7518867,0.3176784,0.1099677,0.03969448,0.02823026,0.2940761,0.001641592,0.1086624,0.0006931171,0.007310205,0.01491703,0.2647751,0.1188167,14.52413,13.5757,8.593762,12.97023
0.8999998,0.0194697,0.05215867,0.06475871,0.2850085,0.9539958,0.7505333,0.3165754,0.1094115,0.03942182,0.02803488,0.2942161,0.001642643,0.1087222,0.000694,0.007316947,0.01495301,0.2654791,0.1189369,14.524,13.57602,8.593724,12.97019
0.9142855,0.01938159,0.05207068,0.06446888,0.2848443,0.9533831,0.7491716,0.3154709,0.1088556,0.03914955,0.02783962,0.2943561,0.001643684,0.1087812,0.0006948771,0.007323629,0.01498895,0.2661825,0.1190563,14.52386,13.57634,8.593683,12.97015
0.9285713,0.01929412,0.05198316,0.0641812,0.2846724,0.9527547,0.7478018,0.3143649,0.1083,0.03887765,0.02764452,0.2944961,0.001644711,0.1088391,0.0006957488,0.007330245,0.01502486,0.2668853,0.1191746,14.52372,13.57667,8.593641,12.97011
0.942857,0.01920736,0.05189627,0.06389595,0.2844926,0.9521095,0.7464234,0.3132573,0.1077446,0.03860618,0.02744958,0.294636,0.001645729,0.1088964,0.000696615,0.007336803,0.01506073,0.2675875,0.1192923,14.52358,13.57701,8.593599,12.97007
0.9571428,0.01912127,0.05180988,0.06361291,0.2843049,0.9514483,0.7450371,0.3121482,0.1071896,0.0383351,0.0272548,0.2947758,0.001646737,0.1089529,0.0006974761,0.007343305,0.01509656,0.2682891,0.1194093,14.52344,13.57735,8.593555,12.97002
0.9714285,0.01903586,0.0517241,0.06333224,0.2841095,0.9507709,0.7436427,0.3110379,0.106635,0.03806444,0.02706019,0.2949156,0.001647736,0.1090085,0.0006983317,0.007349748,0.01513236,0.2689902,0.1195257,14.5233,13.5777,8.593512,12.96998
