EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"4/6/2022 12:51:11 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,precipitation_pp_amo_am
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Timestep,"catch (predicted)SDF landings","catch (observed) SDF landings","catch (predicted)SB 2-5 C","catch (observed) SB 2-5 C","catch (predicted)SB adult C","catch (observed) SB adult C","catch (predicted)AM adult C 1","catch (observed) AM adult C 1","catch (predicted)AM adult C 2","catch (observed) AM adult C 2","catch (predicted)AM adult C 3","catch (observed) AM adult C 3","catch (predicted)AM adult C 4","catch (observed) AM adult C 4","catch (predicted)AM adult C 5","catch (observed) AM adult C 5","catch (predicted)AM adult C 6","catch (observed) AM adult C 6","catch (predicted)BF adult C","catch (observed) BF adult C","catch (predicted)WF juv C","catch (observed) WF juv C","catch (predicted)WF adult C","catch (observed) WF adult C","catch (predicted)AH adult landings","catch (observed) AH adult landings","catch (predicted)AM juv C","catch (observed) AM juv C","catch (predicted)BF juv C","catch (observed) BF juv C","catch (predicted)AH juv landings","catch (observed) AH juv landings",
66,0.01698622,0.0166,0.01321979,0.0011,0.04758105,0.00339,0.1377691,0.04758841,0.8022264,0.2806679,0.4248618,0.0590819,0.08125688,0.0200084,0.01263563,0.01219478,0.006231999,0.004182115,1.230384,0.0452,0.003856092,6.59E-05,0.06470232,0.0014,1.002584,0.0934,0.003900914,0.002373991,0.07298043,0.04627679,0.003273696,0.01256204,
67,0.01697523,,0.01412572,,0.04857315,,0.1416254,,0.7743739,,0.4309654,,0.08278914,,0.01198633,,0.006150252,,1.243964,,0.00367918,,0.06495838,,1.035842,,0.00396158,,0.07492188,,0.003646133,,
68,0.01697897,,0.01498879,,0.0494899,,0.1523943,,0.7773442,,0.4384706,,0.08587174,,0.01213184,,0.006145584,,1.25621,,0.003457832,,0.06515098,,1.089666,,0.004304362,,0.07768499,,0.00408051,,
69,0.0169995,,0.01579962,,0.05026626,,0.1589757,,0.7628685,,0.4369721,,0.08684192,,0.01251609,,0.006073306,,1.265731,,0.003163949,,0.06498011,,1.141876,,0.004174048,,0.08083802,,0.004381784,,
70,0.01699528,,0.01656049,,0.0510041,,0.1723586,,0.7674729,,0.4425506,,0.08847618,,0.01324881,,0.006088746,,1.27535,,0.002827339,,0.064706,,1.211085,,0.00446475,,0.08435103,,0.004628637,,
71,0.01701538,,0.01726472,,0.0516303,,0.1813287,,0.7613636,,0.4387431,,0.08800601,,0.01477573,,0.005997498,,1.283574,,0.002413839,,0.06401106,,1.27754,,0.004476666,,0.08723597,,0.004722155,,
72,0.01701025,,0.01790906,,0.05217387,,0.1889864,,0.7573543,,0.444501,,0.08682824,,0.01676543,,0.005905834,,1.290939,,0.001959614,,0.0628997,,1.347133,,0.004190276,,0.08910219,,0.004727506,,
73,0.01415133,,0.02553931,,0.06483182,,0.2017201,,0.6943901,,0.3691965,,0.0662023,,0.01342848,,0.004154579,,1.376363,,0.0005715521,,0.1028724,,1.292742,,0.003300438,,0.1670811,,0.002003267,,
74,0.01414517,,0.02623305,,0.06510325,,0.1966121,,0.6612064,,0.3603409,,0.06678917,,0.01421723,,0.004007032,,1.370457,,0.0004105982,,0.09785631,,1.330221,,0.003219099,,0.1595924,,0.001920951,,
75,0.01412863,,0.0267954,,0.06517003,,0.1942329,,0.6386102,,0.3522702,,0.06847942,,0.0150779,,0.003871537,,1.359045,,0.0002970636,,0.09226444,,1.366855,,0.003176462,,0.150562,,0.001873564,,
76,0.01412856,,0.02722306,,0.06506422,,0.1899862,,0.6170778,,0.3395387,,0.07069236,,0.01575484,,0.003719727,,1.342517,,0.0002311275,,0.08634035,,1.402088,,0.003168672,,0.1405679,,0.001883366,,
