SSB2017,R0
4152068,139.249
7342204,301.1058
7342204,301.1058
7342204,301.1058
2679053,78.32238
3260268,93.57561
2511928,88.09395
5564465,169.9544
4390752,99.35049
3729094,93.35787
3729094,93.35787
3729094,93.35787
2548789,80.16501
2197694,91.90592
2579572,91.11556
4813831,196.1677
6781438,228.4663
2423243,86.5816
2423243,86.5816
2330810,103.6051
2335305,79.42866
3032129,77.15903
7184133,238.7548
2799843,80.8324
2781982,74.19341
3861934,100.1832
3661183,93.02227
3351978,85.75441
2259800,83.06366
2526802,79.30144
2131590,85.21766
3722393,131.5113
4168941,115.2808
4018008,199.4906
6413304,194.1619
6413304,194.1619
2893163,86.92644
3544944,74.76728
4738423,171.0787
3820963,105.3807
3554430,105.5631
3434393,81.53947
2807580,90.69257
2579233,94.63232
1934961,74.03806
1934961,74.03806
2229793,95.73818
3632713,75.84557
5714725,237.5736
5195041,208.3957
5195041,208.3957
2817369,91.80933
3450685,72.63834
3404451,177.4953
2709146,111.127
4203325,219.4294
4203325,219.4294
2461497,83.16398
2642497,73.90511
3975591,85.96483
3674700,84.28966
8578558,283.1213
2507053,90.04772
2939380,99.58068
1671033,72.74456
3580096,116.5809
1948014,112.1695
3984368,148.6455
4101199,169.9544
4101199,169.9544
5913164,305.2071
1694319,73.23592
2771874,81.88507
3436795,96.24198
2825843,75.47688
3587306,114.08
3587306,114.08
3245751,71.60263
3258433,110.5243
1909968,76.99423
4102017,121.0263
8263988,288.4634
2849279,71.0712
2849279,71.0712
2781631,112.9019
3530193,84.96503
3210102,73.46581
2479488,88.94959
3481384,97.45518
2331789,80.23432
7002032,253.8731
4430024,245.6155
1832427,72.63833
5969997,177.9612
9038282,321.6897
3762681,81.06641
3879906,97.37652
2349742,93.61575
2672566,101.5883
5825780,150.7465
6927206,192.2289
2050800,118.8205
3180650,113.5198
5550687,206.6036
3019130,86.43881
3352732,96.14456
7416025,278.123
2805736,78.23642
2805736,78.23642
6134685,193.6823
2844465,74.62616
3152803,89.80922
3152803,89.80922
1951669,101.9443
2774126,72.83851
7149092,239.8544
2529792,87.74595
5996615,212.1181
5996615,212.1181
5996615,212.1181
5583712,275.2605
2422419,69.15731
2422419,69.15731
2545904,105.2236
6451775,298.3472
2066640,81.22988
2880606,96.14458
2880606,96.14458
5455225,258.6641
5287177,155.9989
4479175,227.9356
2243948,111.9742
2525644,84.91641
2889039,90.22945
2227503,90.39959
6296215,321.6902
3788734,133.7861
2608418,105.7579
2608418,105.7579
8182000,240.6965
8182000,240.6965
3318480,146.8929
4308850,205.9459
2334392,141.516
2173893,76.96319
2566843,128.3093
3940241,114.6552
2462059,138.2767
3014754,114.2048
3014754,114.2048
6131585,267.4538
3134959,92.59515
3341039,103.9605
3341039,103.9605
6005650,234.3262
2199443,114.9756
2208905,117.727
2927134,86.69692
7209451,284.1026
2013459,76.59172
3426666,132.5574
2631997,105.8361
6748030,169.3509
3846684,133.8077
2105013,119.2961
2521178,96.82716
2023905,91.73037
2857287,92.95748
2451868,132.5572
2953162,77.00649
2953162,77.00649
1844599,80.51848
2379018,77.0084
4834241,204.8784
3658697,94.87311
5463727,224.347
7975936,289.8184
3153855,74.19207
3153855,74.19207
3153855,74.19207
2135576,80.83236
2190928,74.823
3328683,97.26394
3624527,77.54922
2968016,87.49185
3676383,98.01572
3029025,93.02223
3029025,93.02223
2949402,73.18318
2961664,89.5814
5806821,192.1257
2752298,117.8566
3565806,127.3494
4600645,205.8814
2261209,84.17508
5744900,155.5332
2431216,68.13087
2452571,86.79915
3672145,121.4029
2791981,109.8283
3979841,104.3725
2367064,83.25005
2526331,104.5831
1885194,81.47197
1885194,81.47197
2647441,83.98618
2508124,85.80626
4051071,205.8323
3511845,136.1162
2454179,82.55697
3398178,104.0797
7289636,217.1917
2323414,97.05735
10083150,281.8565
2580511,95.48312
2834162,83.70175
3077767,132.3842
2526716,120.0541
2346506,83.1177
3054022,156.9218
6463841,188.7684
6463841,188.7684
2253762,84.70223
2795700,106.6001
3242137,76.6833
3988591,145.1356
3760169,121.8064
2661192,92.56887
4735868,223.1203
3098855,96.41009
4649695,209.9661
3194349,83.37318
3194349,83.37318
2110147,80.04004
8860051,299.5731
4093139,113.6416
4257680,153.8037
2094581,72.46844
7249721,253.8711
2832027,74.92831
6532066,267.4537
7369314,305.5044
1899651,76.27299
2367394,103.1422
3137203,76.59172
1931147,75.03918
2546440,73.02268
2033166,73.3666
2394076,78.47359
4348358,198.7433
2311237,81.11974
3376049,83.85291
2702619,109.0133
3511706,78.14691
2371155,84.28964
3882643,124.6957
3651212,114.2533
3651212,114.2533
2481737,70.40817
3540888,76.15153
7215586,214.5979
2855912,115.579
3172315,111.6653
3172315,111.6653
3043185,94.28373
2643272,100.1243
6013391,238.6275
2308151,88.27839
2308151,88.27839
4337017,107.3933
2353026,100.5908
4512193,187.2069
4787555,186.0367
3742235,148.7926
7263704,205.8322
7263704,205.8322
2709824,92.51108
2709824,92.51108
2709824,92.51108
2673268,72.64531
3054323,187.9293
4204870,198.9143
3262649,95.71856
3131918,81.11978
3727810,175.9759
9425195,289.819
9425195,289.819
9425195,289.819
3492459,94.58077
9622605,321.6891
7247841,185.2692
3196665,91.84576
2185469,81.84454
4127691,215.8458
1973420,81.51173
3520417,102.0209
3190220,104.2558
4212819,133.9466
2298578,75.54063
6172211,243.2154
2569333,92.22906
4956459,245.8667
4956459,245.8667
5565939,196.827
2857456,113.1354
2857456,113.1354
7695051,241.2394
2758558,121.0598
2847878,98.0157
3201553,72.6271
4303768,168.9221
3875527,96.29169
2266388,77.69531
4757178,200.3037
2786293,81.66542
2645399,92.81765
3648411,92.37546
2744573,152.7357
2170395,76.25693
2170395,76.25693
2185932,73.02267
2012315,89.77937
3541654,186.3697
2433371,75.54063
2620785,70.22056
2443560,105.0865
2137090,91.54946
9326774,330.8803
9326774,330.8803
2549401,118.9151
2549401,118.9151
2834862,89.38367
2555095,92.95888
5984652,201.8018
3930320,167.1889
5050268,193.5899
2665738,96.14457
3194276,82.81222
3194276,82.81222
2125694,95.21597
2060391,78.49388
6169057,221.2536
6169057,221.2536
6169057,221.2536
2060005,104.628
3118560,95.14189
3137845,81.07242
5287694,173.8759
3305037,102.1332
